record_type,campaign,ad_group,entity_id,status,scope,match_type,priority,text,final_url,utm_source,utm_medium,utm_campaign,utm_term,utm_content,instruction
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,draft_state,DISABLED,campaign,,,DRAFT - DO NOT ENABLE,,,,,,,Offline specification only; no live account action is authorized
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,budget_type,DISABLED,campaign,,,Campaign total budget,,,,,,,Use only when creating a new Search campaign; the budget type cannot be changed after creation
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,budget,DISABLED,campaign,,,$100 USD total for full campaign,,,,,,,Hard billed-media cap for the 10-calendar-day flight; do not enter this as an average daily budget
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,flight_duration,DISABLED,campaign,,,10 calendar days,,,,,,,The end date is the ninth calendar date after the start date
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,campaign_type,DISABLED,campaign,,,Search,,,,,,,One controlled Search campaign
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,networks,DISABLED,campaign,,,Google Search only,,,,,,,Keep Display Network and Search Partners off for the initial controlled test
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,goal,DISABLED,campaign,,,Leads,,,,,,,Use only after conversion actions are verified
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,target_locations,DISABLED,campaign,,,"Alameda County; Contra Costa County; Marin County; Napa County; San Francisco County; San Mateo County; Santa Clara County; Solano County; Sonoma County — California",,,,,,,Verify each supported geo target in the live account before use
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,location_option,DISABLED,campaign,,,Presence: people in or regularly in targeted locations,,,,,,,Do not use the default Presence or Interest option
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,language,DISABLED,campaign,,,English,,,,,,,Add another language only with a reviewed matching ad and landing experience
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,bidding_strategy,DISABLED,campaign,,,UNSET,,,,,,,Choose only after the initial booking conversion and economics are verified
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,start_date,DISABLED,campaign,,,UNSET — choose future date after final launch authorization,,,,,,,Never use Today while this pack remains disabled
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,end_date,DISABLED,campaign,,,UNSET — start date + 9 calendar days; ends 23:59 account timezone,,,,,,,Do not extend the end date without new owner authorization
campaign_setting,DRAFT | BA | Search | Missed Lead Recovery,,ad_schedule,DISABLED,campaign,,,UNSET,,,,,,,Set only after response coverage and time-zone handling are confirmed
