record_type,campaign,ad_set,variant_id,status,asset_path,objective,conversion_location,performance_goal,conversion_event,utm_source,utm_medium,utm_campaign,utm_term,utm_content,final_url,primary_text,headline,description,cta,instruction
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,draft_state,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,DRAFT - DO NOT ENABLE,,,,Offline specification only; no live account action is authorized
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,budget,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,0 USD — NO ALLOCATION IN FIRST 10-DAY TEST,,,,The full $100 paid-media cap is allocated to Google Search; do not fund or enable this Meta draft
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,bid_or_cost_goal,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,UNSET,,,,Choose only after verified event delivery and approved economics
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,schedule,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,NOT SCHEDULED,,,,The first 10-day test gives Meta no allocation and no launch authorization
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,location_control,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Nine Bay Area counties only,,,,Use location as a strict control; verify Alameda Contra Costa Marin Napa San Francisco San Mateo Santa Clara Solano and Sonoma
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,age_control,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,18+,,,,No age inference beyond adult business audiences
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,language,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,English,,,,Add another language only with reviewed matching ad and landing experience
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,placements,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,REVIEW REQUIRED,,,,Preview every placement; use Advantage+ placements only when the 4:5 asset remains accurate and legible
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,audience,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,Broad within strict location control; niche inputs are suggestions only,,,,Do not claim platform interests identify business owners reliably
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,exclusions,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,UNSET,,,,Later exclude confirmed bookings current clients and opted-out records only with lawful permission and reliable matching
campaign_setting,DRAFT | BA | Meta | Missed Lead Recovery,,tracking,DISABLED,,Leads,Website,Maximize number of conversions,calendar_booking_success,,,,,,,NOT INSTALLED OR AUTHORIZED BY THIS PACK,,,,Pixel CAPI or offline events require separate privacy legal and implementation review
creative,DRAFT | BA | Meta | Missed Lead Recovery,home_services,meta_hs_ad01,DISABLED,assets/social/ad_01_contractor_after_hours.png,Leads,Website,Maximize number of conversions,calendar_booking_success,meta,paid_social,ba-missed-lead-recovery-v1,home_services,meta-hs-ad01-after-hours,https://leonbuilds.org/missed-lead-recovery?utm_source=meta&utm_medium=paid_social&utm_campaign=ba-missed-lead-recovery-v1&utm_term=home_services&utm_content=meta-hs-ad01-after-hours,"A quote request arrives while you are on a job. The sprint connects one existing inquiry source to prompt acknowledgment, up to two follow-ups and an owner handoff. Bay Area fit check; written quote first.",Map One Missed-Lead Handoff,"Starting scope from $1,500 after compatibility check.",Book Now,Asset and copy are a hypothesis; no lead booking or revenue promise
creative,DRAFT | BA | Meta | Missed Lead Recovery,home_services,meta_hs_ad02,DISABLED,assets/social/ad_02_contractor_flow.png,Leads,Website,Maximize number of conversions,calendar_booking_success,meta,paid_social,ba-missed-lead-recovery-v1,home_services,meta-hs-ad02-flow,https://leonbuilds.org/missed-lead-recovery?utm_source=meta&utm_medium=paid_social&utm_campaign=ba-missed-lead-recovery-v1&utm_term=home_services&utm_content=meta-hs-ad02-flow,"Phone tag is not a visible follow-up process. Leon can connect one existing form, compatible missed-call event or shared inbox to an acknowledgment and clear owner handoff.",See The Inquiry Handoff,"Fixed scope and written quote before work starts.",Book Now,Do not imply the compatible missed-call event exists until compatibility is checked
creative,DRAFT | BA | Meta | Missed Lead Recovery,auto_repair,meta_ar_ad03,DISABLED,assets/social/ad_03_auto_estimates.png,Leads,Website,Maximize number of conversions,calendar_booking_success,meta,paid_social,ba-missed-lead-recovery-v1,auto_repair,meta-ar-ad03-estimates,https://leonbuilds.org/missed-lead-recovery?utm_source=meta&utm_medium=paid_social&utm_campaign=ba-missed-lead-recovery-v1&utm_term=auto_repair&utm_content=meta-ar-ad03-estimates,"During a shop rush, a new-service or callback request can sit without a clear owner. Map one inquiry source to acknowledgment, follow-up and an advisor handoff.",A Clear Auto-Shop Handoff,"Bay Area fit check; written fixed quote first.",Book Now,Repair-status calls and live call answering remain outside this offer
creative,DRAFT | BA | Meta | Missed Lead Recovery,restaurant_food,meta_rf_ad04,HOLD_MESSAGE_MISMATCH,assets/social/ad_04_restaurant_direct.png,Leads,Website,Maximize number of conversions,calendar_booking_success,meta,paid_social,ba-missed-lead-recovery-v1,restaurant_food,meta-rf-ad04-direct-order-hold,https://leonbuilds.org/missed-lead-recovery?utm_source=meta&utm_medium=paid_social&utm_campaign=ba-missed-lead-recovery-v1&utm_term=restaurant_food&utm_content=meta-rf-ad04-direct-order-hold,"HOLD: this card promotes direct ordering while the current sprint covers catering or private-event inquiry follow-up. It is not eligible for this landing page.",Hold — Landing Mismatch,Do not publish this variant.,Learn More,Requires a separately reviewed matching offer and landing page before it could become eligible
