record_type,campaign,ad_group,entity_id,status,scope,match_type,priority,text,final_url,utm_source,utm_medium,utm_campaign,utm_term,utm_content,instruction
campaign_setting,DRAFT | US | Search | App Development,,draft_state,HOLD_NO_BUDGET,campaign,,,DRAFT — REVIEW ONLY — DO NOT CREATE OR ENABLE,,,,,,,Offline planning row only; no live account action is authorized
campaign_setting,DRAFT | US | Search | App Development,,account_boundary,HOLD_NO_BUDGET,campaign,,,Leon Builds business advertising only,,,,,,,Never use a Curio advertising social community developer or billing account for this lane
campaign_setting,DRAFT | US | Search | App Development,,budget,HOLD_NO_BUDGET,campaign,,,0 USD — NO ALLOCATION,,,,,,,The existing $100 over 10 calendar days remains assigned only to the contractor Search test
campaign_setting,DRAFT | US | Search | App Development,,schedule,HOLD_NO_BUDGET,campaign,,,NOT SCHEDULED,,,,,,,Dates remain unset and this draft cannot inherit the contractor flight
campaign_setting,DRAFT | US | Search | App Development,,campaign_type,HOLD_NO_BUDGET,campaign,,,Search,,,,,,,Separate future campaign hypothesis only
campaign_setting,DRAFT | US | Search | App Development,,networks,HOLD_NO_BUDGET,campaign,,,Google Search only,,,,,,,Display Network and Search Partners would remain off if a future test is separately approved
campaign_setting,DRAFT | US | Search | App Development,,location,HOLD_NO_BUDGET,campaign,,,UNSET — define only with a separately approved app test,,,,,,,The service is available remotely across the United States but that does not authorize national targeting
campaign_setting,DRAFT | US | Search | App Development,,location_option,HOLD_NO_BUDGET,campaign,,,Presence: people in or regularly in approved locations,,,,,,,Do not use Presence or Interest
campaign_setting,DRAFT | US | Search | App Development,,language,HOLD_NO_BUDGET,campaign,,,English,,,,,,,Add languages only with reviewed matching ad and landing experiences
campaign_setting,DRAFT | US | Search | App Development,,bidding_strategy,HOLD_NO_BUDGET,campaign,,,UNSET,,,,,,,Do not choose bids or a cost goal until separate budget economics and authorization exist
campaign_setting,DRAFT | US | Search | App Development,,landing_page,HOLD_NO_BUDGET,campaign,,,https://leonbuilds.org/,,,,,,,Requested root destination; homepage lacks the dedicated app scope and $3500 offer so keep every app RSA held pending a matching landing review
keyword,DRAFT | US | Search | App Development,business_app,app_kw_01e,HOLD_NO_BUDGET,ad_group,exact,,business app developer,,,,,,,High-intent hypothesis; review actual search volume before any separate test
keyword,DRAFT | US | Search | App Development,business_app,app_kw_01p,HOLD_NO_BUDGET,ad_group,phrase,,business app developer,,,,,,,High-intent hypothesis; review actual search volume before any separate test
keyword,DRAFT | US | Search | App Development,business_app,app_kw_02e,HOLD_NO_BUDGET,ad_group,exact,,app developer for business,,,,,,,High-intent hypothesis; review actual search volume before any separate test
keyword,DRAFT | US | Search | App Development,business_app,app_kw_02p,HOLD_NO_BUDGET,ad_group,phrase,,app developer for business,,,,,,,High-intent hypothesis; review actual search volume before any separate test
keyword,DRAFT | US | Search | App Development,business_app,app_kw_03e,HOLD_NO_BUDGET,ad_group,exact,,custom app development,,,,,,,High-intent hypothesis; review actual search volume before any separate test
keyword,DRAFT | US | Search | App Development,business_app,app_kw_03p,HOLD_NO_BUDGET,ad_group,phrase,,custom app development,,,,,,,High-intent hypothesis; review actual search volume before any separate test
keyword,DRAFT | US | Search | App Development,business_app,app_kw_04e,HOLD_NO_BUDGET,ad_group,exact,,mobile app development company,,,,,,,Buyer language; ad copy remains truthful that Leon is one developer
keyword,DRAFT | US | Search | App Development,business_app,app_kw_04p,HOLD_NO_BUDGET,ad_group,phrase,,mobile app development company,,,,,,,Buyer language; ad copy remains truthful that Leon is one developer
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_05e,HOLD_NO_BUDGET,ad_group,exact,,ios and android app developer,,,,,,,Platform-specific purchase-intent hypothesis
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_05p,HOLD_NO_BUDGET,ad_group,phrase,,ios and android app developer,,,,,,,Platform-specific purchase-intent hypothesis
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_06e,HOLD_NO_BUDGET,ad_group,exact,,iphone app development,,,,,,,Platform-specific purchase-intent hypothesis
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_06p,HOLD_NO_BUDGET,ad_group,phrase,,iphone app development,,,,,,,Platform-specific purchase-intent hypothesis
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_07e,HOLD_NO_BUDGET,ad_group,exact,,android app development,,,,,,,Platform-specific purchase-intent hypothesis
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_07p,HOLD_NO_BUDGET,ad_group,phrase,,android app development,,,,,,,Platform-specific purchase-intent hypothesis
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_08e,HOLD_NO_BUDGET,ad_group,exact,,cross platform app developer,,,,,,,Platform-specific purchase-intent hypothesis
keyword,DRAFT | US | Search | App Development,ios_android,app_kw_08p,HOLD_NO_BUDGET,ad_group,phrase,,cross platform app developer,,,,,,,Platform-specific purchase-intent hypothesis
negative,DRAFT | US | Search | App Development,,app_neg_001,HOLD_NO_BUDGET,campaign,broad,,job,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_002,HOLD_NO_BUDGET,campaign,broad,,jobs,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_003,HOLD_NO_BUDGET,campaign,broad,,career,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_004,HOLD_NO_BUDGET,campaign,broad,,careers,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_005,HOLD_NO_BUDGET,campaign,broad,,salary,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_006,HOLD_NO_BUDGET,campaign,broad,,salaries,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_007,HOLD_NO_BUDGET,campaign,broad,,internship,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_008,HOLD_NO_BUDGET,campaign,broad,,internships,,,,,,,Employment intent
negative,DRAFT | US | Search | App Development,,app_neg_009,HOLD_NO_BUDGET,campaign,broad,,resume,,,,,,,Employment intent
