record_id,platform,target,language,content_type,status,object_count,submitted_date,public_url,evidence_url,source_tag,copy_state,asset_state,price_basis,last_checked,next_action,notes
fbgrp-brhr2,facebook_group,"巴西华人群|Overseas Chinese In Brazil",zh,group_post,published,1,2026-08-20,https://www.facebook.com/groups/3175005609454078/permalink/4551131161841509/,https://www.facebook.com/groups/3175005609454078/my_posted_content/,fbqun-brhr2,current,price_free,floors:03836db46381,2026-08-22,monitor,"Direct permalink is viewable"
fbgrp-brhr,facebook_group,巴西华人,zh,group_post,published,1,2026-08-20,https://www.facebook.com/groups/mybrazil/permalink/2293886308030755/,https://www.facebook.com/groups/mybrazil/my_posted_content/,fbqun-brhr,current,price_free,floors:03836db46381,2026-08-22,monitor,"Direct permalink is viewable"
fbgrp-la-ads,facebook_group,"美国洛杉矶广告群-海外华人产品广告 SmallBusiness中小企业、本地商家",zh,group_post,published,1,2026-08-20,https://www.facebook.com/groups/655569307881461/permalink/27298342866510743/,https://www.facebook.com/groups/655569307881461/my_posted_content/,fbqun-ad,current,price_free,floors:03836db46381,2026-08-22,monitor,"Ad-group placement; direct permalink is viewable"
fbgrp-us-chinese-circle,facebook_group,美国华人圈,zh,group_post,published,1,2026-08-20,https://www.facebook.com/groups/694880804827885/permalink/1853961945586426/,https://www.facebook.com/groups/694880804827885/my_posted_content/,fbqun-hrq,current,price_free,floors:03836db46381,2026-08-22,monitor,"Direct permalink is viewable"
fbgrp-br-bay,facebook_group,"Brasileiros Na Bay-Area (apenas residentes da Bay Area )",pt,group_post,published,1,2026-08-15,https://www.facebook.com/groups/486714909111555/permalink/1702186604231040/,https://www.facebook.com/groups/486714909111555/permalink/1702186604231040/,fbgrp-bba,current,price_free,floors:03836db46381,2026-08-22,monitor,"Group content dashboard errors; direct permalink is viewable"
fbgrp-bay-chinese,facebook_group,湾区华人群,zh,marketplace_crosspost,published,1,2026-08-15,https://www.facebook.com/groups/1321298031868779/permalink/1956285538370022/,https://www.facebook.com/groups/1321298031868779/permalink/1956285538370022/,,current,marketplace_card,floors:03836db46381,2026-08-22,retain_no_delete,"Direct permalink is viewable; Marketplace forces a city"
fbgrp-bay-info,facebook_group,湾区生活资讯,zh,marketplace_crosspost,published,1,2026-08-15,https://www.facebook.com/groups/701793673266894/permalink/28044741998545359/,https://www.facebook.com/groups/701793673266894/permalink/28044741998545359/,,current,marketplace_card,floors:03836db46381,2026-08-22,retain_no_delete,"Direct permalink is viewable; Marketplace forces a city"
fbgrp-hayward-market,facebook_group,Hayward Market Place,en,group_post,published,1,2026-08-14,https://www.facebook.com/groups/1612919125666281/permalink/4183982175226617/,https://www.facebook.com/groups/1612919125666281/permalink/4183982175226617/,fbgrp-hmp,current,price_free,floors:03836db46381,2026-08-22,monitor,"Direct permalink is viewable"
fbgrp-capeople,facebook_group,"加州华人(美国)…生意广告",zh,group_post,pending_corrected,1,2026-08-20,,https://www.facebook.com/groups/capeople/my_pending_content/,fbqun-ca,corrected,price_free,floors:03836db46381,2026-08-22,wait_for_moderation,"Current group dashboard shows Pending 1"
fbgrp-profissionais,facebook_group,Profissionais Brasileiros nos EUA,pt,group_post,pending_corrected,1,2026-08-20,,https://www.facebook.com/groups/1601239613462240/my_pending_content/,,corrected,price_free,floors:03836db46381,2026-08-22,wait_for_moderation,"Current group dashboard shows Pending 1; source tag missing"
fbgrp-empreendedores,facebook_group,Empreendedores Brasileiros dos EUA,pt,group_post,pending_corrected,1,2026-08-19,,https://www.facebook.com/groups/607264419291542/my_pending_content/,,corrected,price_free,floors:03836db46381,2026-08-22,wait_for_moderation,"Current group dashboard shows Pending 1; source tag missing"
fbgrp-brhr3,facebook_group,巴西🇧🇷华人交流群,zh,group_post,pending_corrected,1,2026-08-20,,https://www.facebook.com/groups/2991066994543940/my_pending_content/,fbqun-brhr3,corrected,price_free,floors:03836db46381,2026-08-22,wait_for_moderation,"Current group dashboard shows Pending 1"
fbgrp-hayward-community,facebook_group,"Hayward, CA community",en,group_post,pending_corrected,1,2026-08-15,,https://www.facebook.com/groups/429864996288954/my_pending_content/,fbgrp-hc,corrected,price_free,floors:03836db46381,2026-08-22,wait_for_moderation,"Current group dashboard shows Pending 1"
fbgrp-sf-bay,facebook_group,🇧🇷 Brasileiros em San Francisco e Bay Area 🇧🇷,pt,group_post,pending_corrected,1,2026-08-16,,https://www.facebook.com/groups/909916669126338/my_pending_content/,fbgrp-sfba,corrected,price_free,floors:03836db46381,2026-08-22,wait_for_moderation,"Current group dashboard shows Pending 1"
fbgrp-empresas,facebook_group,Empresas Brasileiras nos Estados Unidos,pt,group_post,pending_corrected,1,2026-08-20,,https://www.facebook.com/groups/411819142283501/my_pending_content/,,corrected,price_free,floors:03836db46381,2026-08-22,wait_for_moderation,"Current group dashboard shows Pending 1; source tag missing"
fbgrp-brasileiros-eua,facebook_group,Brasileiros Nos EUA,pt,group_post,pending_partial_stale_preview,1,2026-08-20,,https://www.facebook.com/groups/1618109312362459/my_pending_content/,fbgrp-bre,corrected,stale_link_preview,floors:03836db46381,2026-08-22,replace_preview_if_editable,"Caption is corrected; attached preview still shows leonkelvinli.onrender.com"
